county,date,cases,population,deaths,sick_residents,nhtest1,comp2,comp_case,cases_diff,cases_diff2,diff1,comp_case2,current_rate,possible_rate,rate_goal
Adams,2020-04-03,19.0,102023.0,,0.0,19.0,0.0,4.0,15.0,15.0,0.0,4.0,3.9206845515226956,3.9206845515226956,50
Adams,2020-04-04,21.0,102023.0,,0.0,21.0,0.0,4.0,17.0,17.0,2.0,4.0,3.9206845515226956,3.9206845515226956,50
Adams,2020-04-05,22.0,102023.0,,0.0,22.0,0.0,5.0,17.0,17.0,0.0,5.0,4.90085568940337,4.90085568940337,50
Adams,2020-04-06,25.0,102023.0,,0.0,25.0,0.0,6.0,19.0,19.0,2.0,6.0,5.881026827284044,5.881026827284044,50
Adams,2020-04-07,28.0,102023.0,,0.0,28.0,0.0,6.0,22.0,22.0,3.0,6.0,5.881026827284044,5.881026827284044,50
Adams,2020-04-08,33.0,102023.0,,0.0,33.0,0.0,6.0,27.0,27.0,5.0,6.0,5.881026827284044,5.881026827284044,50
Adams,2020-04-09,38.0,102023.0,,0.0,38.0,0.0,7.0,31.0,31.0,4.0,7.0,6.861197965164719,6.861197965164719,50
Adams,2020-04-10,43.0,102023.0,,0.0,43.0,0.0,8.0,35.0,35.0,4.0,8.0,7.841369103045391,7.841369103045391,50
Adams,2020-04-11,44.0,102023.0,,0.0,44.0,0.0,8.0,36.0,36.0,1.0,8.0,7.841369103045391,7.841369103045391,50
Adams,2020-04-12,48.0,102023.0,,0.0,48.0,0.0,8.0,40.0,40.0,4.0,8.0,7.841369103045391,7.841369103045391,50
Adams,2020-04-13,56.0,102023.0,,0.0,56.0,0.0,8.0,48.0,48.0,8.0,8.0,7.841369103045391,7.841369103045391,50
Adams,2020-04-14,63.0,102023.0,,0.0,63.0,0.0,9.0,54.0,54.0,6.0,9.0,8.821540240926065,8.821540240926065,50
Adams,2020-04-15,64.0,102023.0,,0.0,64.0,0.0,12.0,52.0,52.0,-2.0,12.0,11.762053654568088,11.762053654568088,50
Adams,2020-04-16,67.0,102023.0,,2.0,65.0,0.0,18.0,49.0,47.0,-3.0,18.0,17.64308048185213,17.64308048185213,50
Adams,2020-04-17,70.0,102023.0,,2.0,68.0,0.0,19.0,51.0,49.0,2.0,19.0,18.623251619732805,18.623251619732805,50
Adams,2020-04-18,74.0,102023.0,,3.0,71.0,0.0,21.0,53.0,50.0,2.0,21.0,20.583593895494154,20.583593895494154,50
Adams,2020-04-19,80.0,102023.0,,5.0,75.0,0.0,22.0,58.0,53.0,5.0,22.0,21.56376503337483,21.56376503337483,50
Adams,2020-04-20,85.0,102023.0,,7.0,78.0,0.0,25.0,60.0,53.0,2.0,25.0,24.50427844701685,24.50427844701685,50
Adams,2020-04-21,91.0,102023.0,,8.0,83.0,0.0,28.0,63.0,55.0,3.0,28.0,27.444791860658874,27.444791860658874,50
Adams,2020-04-22,92.0,102023.0,,8.0,84.0,0.0,33.0,59.0,51.0,-4.0,33.0,32.34564755006224,32.34564755006224,50
Adams,2020-04-23,95.0,102023.0,,9.0,86.0,0.0,38.0,57.0,48.0,-2.0,38.0,37.24650323946561,37.24650323946561,50
Adams,2020-04-24,110.0,102023.0,,14.0,96.0,0.0,43.0,67.0,53.0,10.0,43.0,42.14735892886898,42.14735892886898,50
Adams,2020-04-25,113.0,102023.0,,14.0,99.0,0.0,44.0,69.0,55.0,2.0,44.0,43.12753006674966,43.12753006674966,50
Adams,2020-04-26,117.0,102023.0,,14.0,103.0,0.0,48.0,69.0,55.0,0.0,48.0,47.048214618272354,47.048214618272354,50
Adams,2020-04-27,122.0,102023.0,,16.0,106.0,0.0,56.0,66.0,50.0,-3.0,56.0,54.88958372131775,54.88958372131775,50
Adams,2020-04-28,124.0,102023.0,,16.0,108.0,0.0,63.0,61.0,45.0,-5.0,63.0,61.75078168648246,61.75078168648246,50
Adams,2020-04-29,130.0,102023.0,,16.0,114.0,0.0,64.0,66.0,50.0,5.0,64.0,62.73095282436313,62.73095282436313,50
Adams,2020-04-30,137.0,102023.0,,16.0,121.0,2.0,67.0,70.0,54.0,4.0,65.0,65.67146623800517,63.71112396224381,50
Adams,2020-05-01,140.0,102023.0,,17.0,123.0,2.0,70.0,70.0,53.0,0.0,68.0,68.61197965164718,66.65163737588583,50
